activity_id,customer_id,activity_date,activity_type
ACT0000001,CUST000624,17-02-2026,purchase
ACT0000002,CUST005666,2023-08-18,app_open
ACT0000003,CUST007197,2024-06-15,support_ticket
ACT0000004,CUST002942,2023-06-23,app_open
ACT0000005,CUST004159,,cart_add
ACT0000006,CUST007885,2024-01-07,cart_add
ACT0000007,CUST009416,01/02/2026,support_ticket
ACT0000008,CUST000489,06-12-2024,email_open
ACT0000009,CUST000813,2024-03-04,login
ACT0000010,CUST001796,2023-07-12,app_open
ACT0000011,CUST007621,2026-01-27,cart_add
ACT0000012,CUST000588,2025-06-04,app_open
ACT0000013,CUST000094,07/07/2026,login
ACT0000014,CUST000476,2025-07-08,purchase
ACT0000015,CUST007709,09/20/2023,app_open
ACT0000016,CUST003233,19-06-2026,app_open
ACT0000017,CUST000307,2025-07-03,login
ACT0000018,CUST007118,06/08/2023,app_open
ACT0000019,CUST004806,2025-03-11,purchase
ACT0000020,CUST003962,08/12/2024,email_open
ACT0000021,CUST007026,02/02/2023,page_view
ACT0000022,CUST003838,09-06-2024,app_open
ACT0000023,CUST004586,2025-12-02,page_view
ACT0000024,CUST008128,2023-12-18,email_click
ACT0000025,CUST006363,2023-09-17,page_view
ACT0000026,CUST002564,25-05-2026,login
ACT0000027,CUST000024,21-07-2026,app_open
ACT0000028,CUST001794,2024-10-14,purchase
ACT0000029,CUST006450,2024-05-30,email_click
ACT0000030,CUST009671,2023-03-08,purchase
ACT0000031,CUST006546,01 Jan 2024,page_view
ACT0000032,CUST004561,2025-10-01,purchase
ACT0000033,CUST003374,19-07-2026,cart_add
ACT0000034,CUST008825,2025-03-31,cart_add
ACT0000035,CUST001770,2025-01-05,email_click
ACT0000036,CUST009277,12-04-2023,cart_add
ACT0000037,CUST007044,2025-11-02,page_view
ACT0000038,CUST006836,2026-05-29,cart_add
ACT0000039,CUST002470,06/17/2026,email_open
ACT0000040,CUST005327,2025-04-05,cart_add
ACT0000041,CUST005229,13-08-2023,page_view
ACT0000042,CUST006980,2024-12-23,purchase
ACT0000043,CUST001961,09/14/2024,login
ACT0000044,CUST007254,2024-01-19,app_open
ACT0000045,CUST008962,19-05-2025,app_open
ACT0000046,CUST006200,10/23/2025,email_open
ACT0000047,CUST007375,2023-09-01,email_open
ACT0000048,CUST001983,07/20/2026,page_view
ACT0000049,CUST001206,20-07-2025,page_view
ACT0000050,CUST003629,2024-06-09,login
ACT0000051,CUST003649,21-12-2025,login
ACT0000052,CUST004999,2024-09-03,cart_add
ACT0000053,CUST000024,2026-04-28,email_open
ACT0000054,CUST003555,07-02-2025,cart_add
ACT0000055,CUST001528,2026-02-06,page_view
ACT0000056,CUST000830,01/05/2023,page_view
ACT0000057,CUST000045,03-06-2023,page_view
ACT0000058,CUST001360,2025-02-14,purchase
ACT0000059,CUST007630,2025-09-27,support_ticket
ACT0000060,CUST001409,,page_view
ACT0000061,CUST004502,06/29/2024,email_click
ACT0000062,CUST000573,2025-12-24,cart_add
ACT0000063,CUST003495,,email_click
