campaign_id,date,impressions,clicks,leads,spend
CAMP0001,04-03-2026,9574.0,363,14,4080.04
CAMP0001,03/05/2026,5977.0,314,30,10463.39
CAMP0001,06-03-2026,4524.0,68,4,1767.34
CAMP0001,2026-03-07,9879.0,207,20,2190.01
CAMP0001,2026-03-08,2991.0,144,6,"$3,681.99"
CAMP0001,09-03-2026,1709.0,12,1,141.85
CAMP0001,2026-03-10,4021.0,117,4,2902.43
CAMP0001,,5270.0,289,15,9103.76
CAMP0001,12-03-2026,7804.0,118,17,4248.63
CAMP0001,2026-03-13,7860.0,77,3,524.3
CAMP0001,03/14/2026,12335.0,325,17,12398.59
CAMP0001,03/15/2026,1850.0,23,2,183.59
CAMP0001,2026-03-16,3074.0,145,6,757.03
CAMP0001,2026-03-17,10147.0,481,14,9301.88
CAMP0001,18-03-2026,12382.0,649,65,"₹11,835.11"
CAMP0001,2026-03-19,5790.0,261,26,10567.5
CAMP0001,03/20/2026,4764.0,55,6,1948.73
CAMP0001,2026-03-21,17754.0,599,45,3604.04
CAMP0001,2026-03-22,8569.0,57,5,1001.73
CAMP0001,2026-03-23,12505.0,344,40,4868.26
CAMP0001,2026-03-24,6765.0,141,5,5948.49
CAMP0001,2026-03-25,9605.0,472,20,19211.51
CAMP0001,26 Mar 2026,14614.0,722,98,"$12,793.94"
CAMP0001,2026-03-27,5427.0,271,35,1430.36
CAMP0001,2026-03-28,4941.0,138,6,1351.66
CAMP0001,2026-03-29,9289.0,311,34,6078.55
CAMP0001,2026-03-30,5845.0,338,17,"₹8,412.80"
CAMP0001,2026-03-31,2520.0,97,8,684.74
CAMP0001,2026-04-01,2742.0,150,7,"₹1,619.37"
CAMP0001,2026-04-02,8579.0,360,42,5221.98
CAMP0001,03 Apr 2026,6628.0,167,17,5066.98
CAMP0001,2026-04-04,3074.0,69,3,457.54
CAMP0001,,7071.0,298,6,7594.15
CAMP0001,06-04-2026,10611.0,456,32,19365.95
CAMP0001,07-04-2026,2135.0,50,1,2099.39
CAMP0001,2026-04-08,4988.0,249,22,6520.32
CAMP0001,09-04-2026,9970.0,100,13,4101.67
CAMP0001,,1652.0,74,10,2995.78
CAMP0001,04/11/2026,14899.0,600,18,6879.09
CAMP0001,,7904.0,83,8,431.8
CAMP0001,13 Apr 2026,12069.0,424,46,13177.26
CAMP0001,04/14/2026,11224.0,256,29,7932.24
CAMP0001,04/15/2026,2852.0,117,10,1023.4
CAMP0001,2026-04-16,1799.0,105,7,4271.6
CAMP0001,17-04-2026,3422.0,166,14,4660.64
CAMP0001,2026-04-18,1722.0,35,0,1078.66
CAMP0001,2026-04-19,6489.0,368,52,15306.8
CAMP0001,20-04-2026,6045.0,350,45,5872.28
CAMP0001,2026-04-21,11267.0,583,35,6867.57
CAMP0001,,11047.0,401,13,11869.72
CAMP0001,04/23/2026,7155.0,90,7,"$3,608.54"
CAMP0001,24-04-2026,12263.0,303,17,11324.46
CAMP0001,04/25/2026,13827.0,728,100,18530.29
CAMP0001,26 Apr 2026,17184.0,749,92,30409.56
CAMP0001,27 Apr 2026,6704.0,172,5,"₹4,838.57"
CAMP0001,,6464.0,134,12,833.48
CAMP0001,2026-04-29,4269.0,214,14,2157.64
CAMP0001,04/30/2026,18406.0,722,22,5102.57
CAMP0001,2026-05-01,7352.0,255,26,8681.13
CAMP0001,2026-05-02,6745.0,328,18,7399.31
CAMP0001,05/03/2026,9220.0,58,8,"₹2,229.47"
CAMP0001,2026-05-04,3422.0,46,2,1240.58
CAMP0001,2026-05-05,19451.0,803,45,34685.27
CAMP0001,05/06/2026,8810.0,247,12,4752.01
CAMP0001,2026-05-07,19346.0,112,3,$766.09
CAMP0001,2026-05-08,5514.0,176,14,"₹2,099.34"
CAMP0001,09-05-2026,21759.0,585,58,"₹17,786.19"
CAMP0001,10-05-2026,6025.0,196,25,"₹6,144.16"
CAMP0001,2026-05-11,4539.0,40,4,242.42
CAMP0001,12 May 2026,10598.0,279,28,6509.1
CAMP0001,2026-05-13,7339.0,416,29,18074.21
CAMP0001,05/14/2026,4457.0,229,5,8605.53
CAMP0001,2026-05-15,7797.0,89,9,2684.04
CAMP0001,16-05-2026,8716.0,178,7,6234.38
CAMP0001,17 May 2026,10141.0,603,44,11988.08
CAMP0001,18-05-2026,3773.0,196,14,"₹6,866.83"
CAMP0001,2026-05-19,14647.0,156,21,3932.77
CAMP0001,2026-05-20,4313.0,113,2,4657.33
CAMP0001,21-05-2026,12867.0,290,41,12477.04
CAMP0001,05/22/2026,22220.0,469,29,14961.45
CAMP0001,2026-05-23,13819.0,670,82,5794.32
CAMP0001,05/24/2026,3668.0,107,14,2036.92
CAMP0001,2026-05-25,6621.0,85,10,2526.94
CAMP0001,,4670.0,204,6,"₹1,712.28"
CAMP0001,2026-05-27,7775.0,198,13,7427.37
CAMP0001,28-05-2026,3791.0,180,16,3954.4
CAMP0001,05/29/2026,16445.0,182,15,992.65
CAMP0001,30-05-2026,3727.0,42,4,1463.36
CAMP0001,31-05-2026,6420.0,371,25,6094.97
CAMP0001,2026-06-01,5046.0,28,4,188.34
CAMP0001,02-06-2026,9320.0,317,47,2520.74
CAMP0001,2026-06-03,9423.0,373,41,"$8,646.75"
CAMP0001,2026-06-04,6951.0,258,35,1759.01
CAMP0001,05 Jun 2026,6110.0,123,5,2896.4
CAMP0001,,13086.0,485,14,21328.26
CAMP0001,06/07/2026,864.0,36,1,1491.74
CAMP0001,2026-06-08,8719.0,499,57,14738.77
CAMP0001,,10975.0,82,1,1644.8
CAMP0001,10 Jun 2026,6006.0,356,14,10240.42
CAMP0001,2026-06-11,8586.0,438,35,9457.64
CAMP0001,2026-06-12,6230.0,50,6,1875.8
CAMP0001,2026-06-13,17961.0,929,48,21387.22
CAMP0001,14-06-2026,8413.0,483,47,"$6,832.38"
CAMP0001,2026-06-15,13779.0,154,16,3975.1
CAMP0001,16-06-2026,18214.0,612,80,16570.68
CAMP0001,2026-06-17,13497.0,166,3,5844.11
CAMP0001,06/18/2026,7561.0,330,15,3450.1
CAMP0001,2026-06-19,1127.0,61,3,1559.13
CAMP0001,20-06-2026,17252.0,462,46,18246.48
CAMP0001,21 Jun 2026,6590.0,199,29,4916.24
CAMP0002,30 Aug 2025,11682.0,465,23,"$3,736.06"
CAMP0002,2025-08-31,2443.0,132,10,4184.7
CAMP0002,09/01/2025,9515.0,148,3,"₹1,740.10"
CAMP0002,2025-09-02,3279.0,38,3,503.63
CAMP0002,09/03/2025,4176.0,136,14,893.86
CAMP0002,2025-09-04,9692.0,514,71,"₹3,825.76"
CAMP0002,05-09-2025,15022.0,741,86,9174.2
CAMP0002,09/06/2025,4221.0,164,11,3854.23
CAMP0002,07-09-2025,2123.0,14,0,469.48
CAMP0002,09/08/2025,6815.0,74,5,1946.55
CAMP0002,09/09/2025,13023.0,257,17,1491.33
CAMP0002,09/10/2025,2550.0,29,3,833.57
CAMP0002,09/11/2025,3826.0,185,15,1568.21
CAMP0002,2025-09-12,27980.0,804,29,13146.23
CAMP0002,09/13/2025,13397.0,542,51,10430.18
CAMP0002,2025-09-14,6810.0,72,2,1068.36
CAMP0002,15-09-2025,7346.0,112,6,1336.71
CAMP0002,09/16/2025,10863.0,292,42,11569.12
CAMP0002,2025-09-17,4109.0,4930,694,134443.64
CAMP0002,18-09-2025,11377.0,232,27,2895.77
CAMP0002,2025-09-19,3450.0,63,2,1853.76
CAMP0002,20-09-2025,1015.0,37,1,897.09
CAMP0002,09/21/2025,3835.0,47,1,2096.13
CAMP0002,22 Sep 2025,6914.0,342,18,11032.96
CAMP0002,23-09-2025,9793.0,270,17,11388.91
CAMP0002,2025-09-24,17225.0,1000,36,34234.7
CAMP0002,25-09-2025,7123.0,365,13,13435.9
CAMP0002,2025-09-26,5894.0,82,3,3081.81
CAMP0002,2025-09-27,8277.0,440,31,16572.15
CAMP0002,2025-09-28,24152.0,621,49,10591.23
CAMP0002,29 Sep 2025,6762.0,368,25,9841.1
CAMP0002,2025-09-30,19611.0,771,27,32839.42
CAMP0002,01-10-2025,1575.0,76,7,2001.72
CAMP0002,02-10-2025,14488.0,700,27,12228.22
CAMP0002,2025-10-03,11939.0,433,51,17350.58
CAMP0002,2025-10-04,3151.0,158,5,6139.58
CAMP0002,2025-10-05,5367.0,71,3,2406.2
CAMP0002,2025-10-06,2782.0,112,12,2991.41
CAMP0002,07-10-2025,3416.0,187,17,"$3,933.37"
CAMP0002,2025-10-08,2083.0,118,4,3357.0
CAMP0002,09-10-2025,28950.0,1533,216,42318.97
CAMP0002,2025-10-10,7356.0,410,45,4551.64
CAMP0002,11 Oct 2025,21873.0,995,140,41812.63
CAMP0002,2025-10-12,16307.0,183,27,7055.73
CAMP0002,13-10-2025,6958.0,187,5,3442.28
CAMP0002,2025-10-14,14063.0,73,4,1527.65
CAMP0002,,11884.0,286,33,6603.37
CAMP0002,10/16/2025,7052.0,210,8,2531.65
CAMP0002,17-10-2025,6390.0,235,24,"₹1,298.09"
CAMP0002,2025-10-18,2672.0,35,2,294.49
CAMP0002,10/19/2025,9706.0,316,30,"$2,427.85"
CAMP0002,2025-10-20,3387.0,55,2,355.41
CAMP0002,2025-10-21,10790.0,389,11,14012.21
CAMP0002,2025-10-22,16715.0,452,41,5066.74
CAMP0002,2025-10-23,205.0,10,1,₹199.32
CAMP0002,2025-10-24,11961.0,76,3,2556.56
CAMP0002,25-10-2025,1894.0,12,0,170.92
CAMP0002,2025-10-26,7189.0,294,14,2639.43
CAMP0002,2025-10-27,6015.0,269,35,10278.17
CAMP0002,2025-10-28,19294.0,407,55,"₹2,246.67"
CAMP0002,29 Oct 2025,2701.0,44,1,539.33
CAMP0002,2025-10-30,1227.0,61,3,937.99
CAMP0002,2025-10-31,20562.0,770,42,23073.79
CAMP0002,2025-11-01,15399.0,326,46,11587.42
CAMP0002,02 Nov 2025,566.0,29,2,1182.68
CAMP0002,03-11-2025,5078.0,100,9,3033.91
CAMP0002,2025-11-04,16313.0,206,26,9141.47
CAMP0002,05 Nov 2025,1981.0,11,1,106.81
CAMP0002,2025-11-06,7200.0,144,13,4472.18
CAMP0002,11/07/2025,4525.0,56,7,"₹2,237.51"
CAMP0002,2025-11-08,9774.0,371,39,4457.51
CAMP0002,2025-11-09,5883.0,197,5,2295.31
CAMP0002,2025-11-10,11759.0,112,11,1659.16
CAMP0002,2025-11-11,1487.0,66,3,1825.31
CAMP0002,2025-11-12,3335.0,138,19,"₹4,733.80"
CAMP0002,11/13/2025,10322.0,333,32,6117.13
CAMP0002,2025-11-14,1496.0,16,0,546.04
CAMP0002,2025-11-15,22950.0,425,53,"₹15,715.07"
CAMP0002,2025-11-16,6425.0,128,12,2488.19
CAMP0002,2025-11-17,1910.0,101,11,3763.51
CAMP0002,11/18/2025,,239,31,"₹3,581.83"
CAMP0002,11/19/2025,6372.0,45,5,1890.45
CAMP0002,2025-11-20,8169.0,56,6,946.06
CAMP0002,,2008.0,117,16,2804.32
CAMP0002,2025-11-22,6813.0,344,8,9924.67
CAMP0002,2025-11-23,6821.0,79,2,2595.27
CAMP0002,2025-11-24,15481.0,345,31,12636.98
CAMP0002,11/25/2025,3031.0,119,16,3526.51
CAMP0002,2025-11-26,7100.0,347,51,6602.88
CAMP0002,27-11-2025,13821.0,374,30,11257.48
CAMP0002,11/28/2025,4620.0,210,10,1977.98
CAMP0002,2025-11-29,17340.0,360,21,5163.95
CAMP0002,11/30/2025,6489.0,275,13,11824.57
CAMP0002,2025-12-01,7950.0,78,5,3132.85
CAMP0002,2025-12-02,6414.0,90,13,1284.02
CAMP0002,2025-12-03,10793.0,439,43,11197.81
CAMP0002,2025-12-04,3885.0,59,7,1121.3
CAMP0002,12/05/2025,4283.0,249,33,10485.41
CAMP0002,06-12-2025,17021.0,229,28,3200.88
CAMP0002,12/07/2025,4132.0,142,13,4004.89
CAMP0002,08 Dec 2025,3976.0,228,30,8522.79
CAMP0002,2025-12-09,4858.0,171,5,3648.82
CAMP0002,2025-12-10,1779.0,57,1,787.02
CAMP0002,2025-12-11,3559.0,32,4,793.79
CAMP0002,2025-12-12,30081.0,725,78,20031.23
CAMP0002,2025-12-13,4283.0,228,28,7145.08
CAMP0002,14-12-2025,11864.0,503,50,17659.66
CAMP0002,2025-12-15,9644.0,515,68,3177.49
CAMP0002,2025-12-16,5840.0,268,10,10108.61
CAMP0002,2025-12-17,7453.0,245,5,4037.97
CAMP0002,12/18/2025,7702.0,148,15,3936.71
CAMP0002,19-12-2025,6909.0,75,8,1998.8
CAMP0002,20 Dec 2025,6186.0,348,11,"$14,786.22"
CAMP0002,2025-12-21,8213.0,71,4,"₹2,366.21"
CAMP0002,12/22/2025,7377.0,288,7,"₹11,480.10"
CAMP0002,12/23/2025,3665.0,213,25,2173.33
CAMP0002,2025-12-24,18459.0,544,30,24417.43
CAMP0002,2025-12-25,6332.0,188,7,6916.97
CAMP0002,12/26/2025,2661.0,112,11,"₹1,784.20"
CAMP0002,27-12-2025,11034.0,146,11,"$6,240.72"
CAMP0002,28-12-2025,21472.0,431,63,9211.92
CAMP0002,29-12-2025,2526.0,44,2,274.8
CAMP0002,30-12-2025,2067.0,64,9,₹794.95
CAMP0002,31-12-2025,17246.0,822,98,31886.47
CAMP0002,01-01-2026,10566.0,71,9,2106.29
CAMP0003,,16155.0,508,17,5083.78
CAMP0003,02/26/2026,3748.0,120,3,3393.46
CAMP0003,2026-02-27,20961.0,1024,61,23765.82
CAMP0003,2026-02-28,4593.0,96,10,3782.87
CAMP0003,2026-03-01,6542.0,119,17,1273.28
CAMP0003,2026-03-02,4131.0,161,17,4409.14
CAMP0003,2026-03-03,3088.0,21,0,438.42
CAMP0003,03/04/2026,6863.0,248,27,9181.82
CAMP0003,03/05/2026,4429.0,177,19,1108.63
CAMP0003,2026-03-06,4622.0,36,3,"₹1,201.05"
