conversion_id,customer_id,campaign_id,conversion_date,conversion_stage
CONV000001,CUST008242,CAMP0134,2024-06-10,Opportunity
CONV000002,CUST000660,CAMP0058,2024-12-03,Customer
CONV000003,CUST001780,CAMP0035,15-10-2025,Opportunity
CONV000004,CUST006118,CAMP0089,25-07-2023,Customer
CONV000005,CUST006499,CAMP0105,20-04-2025,Opportunity
CONV000006,CUST001107,CAMP0134,2023-07-22,SQL
CONV000007,CUST000971,CAMP0188,2025-03-11,MQL
CONV000008,CUST008471,CAMP0165,2024-04-23,Customer
CONV000009,CUST004688,CAMP0047,2025-05-26,SQL
CONV000010,CUST005851,CAMP0046,11/04/2025,Opportunity
CONV000011,CUST000665,CAMP0186,2025-06-07,Customer
CONV000012,CUST002654,CAMP0190,11/24/2023,MQL
CONV000013,CUST900056,CAMP0002,2024-04-06,Opportunity
CONV000014,CUST009737,CAMP0128,06-06-2024,MQL
CONV000015,CUST008617,CAMP0138,09 Aug 2023,Opportunity
CONV000016,CUST004338,CAMP0198,2024-06-12,Opportunity
CONV000017,CUST003042,CAMP0098,2025-11-21,SQL
CONV000018,CUST000151,CAMP0067,2023-10-23,Customer
CONV000019,CUST006649,CAMP0038,08 Nov 2025,Lead
CONV000020,CUST004531,CAMP0031,2024-07-23,SQL
CONV000021,CUST003493,CAMP0150,2025-05-30,Customer
CONV000022,CUST004740,CAMP0007,2023-11-20,MQL
CONV000023,CUST004665,CAMP0211,2024-06-29,MQL
CONV000024,CUST002624,CAMP0139,2023-04-27,Lead
CONV000025,CUST003784,CAMP0107,17-10-2025,Lead
CONV000026,CUST006189,CAMP0063,12-10-2023,SQL
CONV000027,CUST000776,CAMP0046,2024-02-21,Lead
CONV000028,CUST002597,CAMP0214,10-03-2026,Lead
CONV000029,CUST009927,CAMP0049,2026-02-15,Lead
CONV000030,CUST000039,CAMP0031,2026-05-12,Customer
CONV000031,CUST006712,CAMP0159,2023-03-18,Lead
CONV000032,CUST008613,CAMP0136,2023-01-01,MQL
CONV000033,CUST009875,CAMP0148,2023-12-06,Lead
CONV000034,CUST002271,CAMP0026,12/28/2023,MQL
CONV000035,CUST008508,CAMP0189,2023-03-07,Opportunity
CONV000036,CUST006587,CAMP0115,2024-08-03,SQL
CONV000037,CUST000014,CAMP0169,05/17/2026,Lead
CONV000038,CUST002687,CAMP0002,08-10-2024,SQL
CONV000039,CUST007750,CAMP0024,18-04-2023,SQL
CONV000040,CUST002561,CAMP0018,21-12-2025,Customer
CONV000041,CUST001736,CAMP0089,13 Jun 2026,Customer
CONV000042,CUST009622,CAMP0124,13-07-2025,Opportunity
CONV000043,CUST005287,CAMP0168,14-04-2026,Customer
CONV000044,CUST004992,CAMP0161,2026-07-28,MQL
CONV000045,CUST003450,CAMP0123,,SQL
CONV000046,CUST005199,CAMP0014,2023-12-09,MQL
CONV000047,CUST002014,CAMP0078,19-11-2025,Lead
CONV000048,CUST007738,CAMP0039,2024-10-16,MQL
CONV000049,CUST001233,CAMP0178,2025-02-06,Customer
CONV000050,CUST009205,CAMP0005,2023-10-27,MQL
CONV000051,CUST006458,CAMP0161,2026-01-19,MQL
CONV000052,CUST006261,CAMP0024,2026-05-29,MQL
CONV000053,CUST004001,CAMP0179,2024-03-23,Customer
CONV000054,CUST009092,CAMP0028,16 Oct 2023,SQL
CONV000055,CUST009956,CAMP0107,24-03-2023,Opportunity
CONV000056,CUST000766,CAMP0193,01/23/2026,Customer
CONV000057,CUST001642,CAMP0131,2025-12-25,SQL
CONV000058,CUST004188,CAMP0106,08/06/2025,Customer
CONV000059,CUST004693,CAMP0165,10/06/2024,Opportunity
CONV000060,CUST003628,CAMP0021,02/03/2026,Lead
CONV000061,CUST001448,CAMP0060,10/20/2024,Opportunity
CONV000062,CUST001836,CAMP0091,2025-12-31,Lead
CONV000063,CUST009844,CAMP0167,2024-04-02,MQL
CONV000064,CUST006478,CAMP0163,2024-08-12,Customer
CONV000065,CUST000421,CAMP0141,2023-01-23,Lead
CONV000066,CUST000861,CAMP0048,2023-10-17,Lead
CONV000067,CUST000895,CAMP0097,2026-05-09,Lead
CONV000068,CUST007311,CAMP0029,01/09/2026,MQL
CONV000069,CUST000751,CAMP0085,07 Mar 2026,Opportunity
CONV000070,CUST001287,CAMP0069,31-03-2024,SQL
CONV000071,CUST001492,CAMP0043,,SQL
CONV000072,CUST000316,CAMP0036,2026-01-18,Customer
CONV000073,CUST007070,CAMP0191,2023-01-27,SQL
CONV000074,CUST008790,CAMP0007,02/17/2023,SQL
CONV000075,CUST007278,CAMP0151,11/09/2023,MQL
CONV000076,CUST006236,CAMP0128,08-07-2023,Opportunity
CONV000077,CUST004001,CAMP0194,2026-03-22,Customer
CONV000078,CUST007132,CAMP0140,05/31/2025,SQL
CONV000079,CUST007489,CAMP0039,,Opportunity
CONV000080,CUST003453,CAMP0036,2023-05-01,Customer
CONV000081,CUST008733,CAMP0178,2023-01-04,Lead
CONV000082,CUST007855,CAMP0184,2026-06-06,Opportunity
CONV000083,CUST004061,CAMP0062,27-07-2025,MQL
CONV000084,CUST001391,CAMP0113,06/02/2026,Opportunity
CONV000085,CUST001278,CAMP0079,21 Oct 2024,SQL
CONV000086,CUST008410,CAMP0220,11-04-2024,Lead
CONV000087,CUST007442,CAMP0131,2023-02-11,Customer
CONV000088,CUST000608,CAMP0049,2025-10-01,MQL
CONV000089,CUST009434,CAMP0096,09/25/2024,Lead
CONV000090,CUST004054,CAMP0167,2024-04-19,Lead
CONV000091,CUST004434,CAMP0065,03/03/2025,MQL
CONV000092,CUST009965,CAMP0060,2025-04-26,Lead
CONV000093,CUST008158,CAMP0170,02/26/2026,Customer
CONV000094,CUST002397,CAMP0100,2025-03-13,SQL
CONV000095,CUST008928,CAMP0038,2025-08-11,Lead
CONV000096,CUST004737,CAMP0003,2025-09-01,SQL
CONV000097,CUST006869,CAMP0063,2025-08-07,Lead
CONV000098,CUST007740,CAMP0030,01-06-2025,MQL
CONV000099,CUST002257,CAMP0124,2024-01-06,Opportunity
CONV000100,CUST000198,CAMP0042,18-03-2023,Opportunity
CONV000101,CUST001226,CAMP0163,29-04-2026,SQL
CONV000102,CUST006495,CAMP0177,2023-02-13,Lead
CONV000103,CUST005983,CAMP0009,2023-01-01,Customer
CONV000104,CUST004429,CAMP0039,01/31/2024,Customer
CONV000105,CUST004678,CAMP0002,2026-04-01,Lead
CONV000106,CUST001583,CAMP0118,2025-01-15,Lead
CONV000107,CUST004246,CAMP0028,03/20/2025,Opportunity
CONV000108,CUST006854,CAMP0030,2025-03-07,Opportunity
CONV000109,CUST002599,CAMP0090,2026-02-26,Customer
CONV000110,CUST009176,CAMP0076,2025-05-05,MQL
CONV000111,CUST003446,CAMP0046,31-01-2024,Opportunity
CONV000112,CUST003519,CAMP0092,2023-01-20,SQL
CONV000113,CUST002787,CAMP0002,2025-10-04,Lead
CONV000114,CUST002198,CAMP0169,,MQL
CONV000115,CUST000770,CAMP0050,2023-08-27,Opportunity
CONV000116,CUST001189,CAMP0080,2024-08-04,Opportunity
CONV000117,CUST008149,CAMP0133,2025-03-04,Opportunity
CONV000118,CUST006716,CAMP0185,2024-10-21,Lead
CONV000119,CUST004333,CAMP0192,05-05-2024,Lead
CONV000120,CUST009212,CAMP0110,2023-07-17,Lead
CONV000121,CUST004027,CAMP0127,2026-02-03,Lead
CONV000122,CUST006318,CAMP0105,2023-12-03,MQL
CONV000123,CUST007111,CAMP0042,04-03-2026,SQL
CONV000124,CUST007848,CAMP0047,2024-11-14,Customer
CONV000125,CUST005240,CAMP0033,06/11/2026,Opportunity
CONV000126,CUST003453,CAMP0220,2023-10-24,Opportunity
CONV000127,CUST003066,CAMP0022,2026-07-20,MQL
CONV000128,CUST002990,CAMP0168,06/17/2024,Customer
CONV000129,CUST004791,CAMP0107,2023-12-01,MQL
CONV000130,CUST004012,CAMP0139,2024-11-26,SQL
CONV000131,CUST002627,CAMP0181,2023-11-14,Lead
CONV000132,CUST002546,CAMP0131,07/22/2026,Lead
CONV000133,CUST009771,CAMP0164,31-08-2025,SQL
CONV000134,CUST005038,CAMP0188,2023-11-01,MQL
CONV000135,CUST006195,CAMP0139,22-02-2024,Customer
CONV000136,CUST004748,CAMP0194,05/11/2023,MQL
CONV000137,CUST003403,CAMP0155,2023-11-23,Customer
CONV000138,CUST004725,CAMP0218,2025-05-01,Customer
CONV000139,CUST003828,CAMP0214,2025-06-28,Lead
CONV000140,CUST008288,CAMP0137,2024-12-18,Opportunity
CONV000141,CUST003651,CAMP0100,2025-01-27,Opportunity
CONV000142,CUST004479,CAMP0143,2023-05-21,Opportunity
CONV000143,CUST000897,CAMP0084,28-06-2025,Opportunity
