transaction_id,customer_id,campaign_id,transaction_date,revenue
TXN0031149,CUST008800,,2026-04-28,1135.69
TXN0051358,CUST009680,CAMP0155,09/02/2023,515.78
TXN0007877,CUST008840,CAMP0010,2025-10-08,1573.11
TXN0019521,CUST006548,CAMP0043,2025-11-22,6179.96
TXN0021915,CUST002303,CAMP0071,2024-12-14,676.69
TXN0000239,CUST006420,CAMP0085,23 Jul 2026,1165.29
TXN0034110,CUST007786,,06/29/2026,8539.82
TXN0017010,CUST002884,CAMP0071,2024-02-29,1164.02
TXN0002083,CUST008577,CAMP0179,05-06-2025,7597.57
TXN0029951,CUST002277,CAMP0168,2023-10-02,2546.82
TXN0017524,CUST007579,CAMP0038,2025-10-21,999.1
TXN0042784,CUST004236,CAMP0195,,2745.41
TXN0025251,CUST009096,CAMP0115,2025-04-21,351.93
TXN0021327,CUST008366,CAMP0210,2023-07-30,336.3
TXN0005022,CUST004913,,2026-02-26,670.34
TXN0042371,CUST000935,CAMP0135,19-09-2025,133.24
TXN0029232,CUST000632,CAMP0040,2024-07-13,1063.89
TXN0051767,CUST007313,CAMP0053,11/29/2023,425.57
TXN0015847,CUST000309,CAMP0122,10/22/2023,1201.95
TXN0040891,CUST001303,CAMP0059,2024-11-07,471.36
TXN0028461,CUST000352,CAMP0154,2026-03-16,585.22
TXN0003604,CUST002596,CAMP0214,,"₹4,202.21"
TXN0048081,CUST004111,CAMP0160,2024-10-28,1401.75
TXN0047246,CUST008679,,2023-02-16,146.17
TXN0055262,CUST008188,CAMP0103,2026-01-28,1050.41
TXN0046109,CUST008114,CAMP0149,2025-07-30,663.72
TXN0039097,CUST000700,CAMP0145,01/19/2024,422.39
TXN0055312,CUST009413,CAMP0047,2024-12-13,1510.05
TXN0025343,CUST000891,CAMP0107,12 Jun 2023,128.62
TXN0031117,CUST002572,CAMP0006,26-03-2023,157.36
TXN0020674,CUST002949,,11/18/2023,473.63
TXN0009994,CUST007530,,2024-06-14,494.51
TXN0034470,CUST006102,CAMP0150,2026-03-05,653.72
TXN0020674,CUST002949,,11/18/2023,473.63
TXN0057599,CUST003746,CAMP0032,11/26/2023,3486.71
TXN0015633,CUST007097,CAMP0112,2023-01-12,359.51
TXN0042418,CUST009962,CAMP0118,2026-03-08,194.53
TXN0018188,CUST000460,CAMP0208,2024-09-30,1624.06
TXN0057795,CUST002697,CAMP0015,2025-11-03,7698.56
TXN0008403,CUST009063,CAMP0117,2024-08-14,1326.54
TXN0032846,CUST008201,CAMP0028,10-11-2023,₹182.45
TXN0042711,CUST002936,CAMP0111,2023-11-09,749.43
TXN0037845,CUST001939,CAMP0004,21 Dec 2023,2822.23
TXN0023590,CUST009936,CAMP0015,2023-05-13,317.03
TXN0007639,CUST001888,CAMP0051,2025-12-01,1019.97
TXN0053127,CUST005161,CAMP0068,2025-11-25,5008.55
TXN0043736,CUST009125,CAMP0030,01-05-2023,816.8
TXN0043710,CUST009883,CAMP0084,2024-01-10,987.95
TXN0031873,CUST002036,CAMP0084,2025-12-27,6007.21
TXN0041724,CUST000444,CAMP0158,2023-08-12,888.32
TXN0035084,CUST003277,CAMP0211,27-08-2023,109.65
TXN0006699,CUST008014,CAMP0033,2024-07-07,920.57
TXN0047779,CUST002382,CAMP0114,2025-10-14,₹269.28
TXN0018515,CUST006686,CAMP0210,2023-02-27,10859.38
TXN0033820,CUST009443,CAMP0140,2025-04-05,2055.27
TXN0050353,CUST004654,CAMP0182,2026-05-02,2964.84
TXN0053653,CUST005186,CAMP0139,2025-09-12,1072.23
TXN0027617,CUST005348,CAMP0110,2024-11-18,669.77
TXN0023169,CUST005276,,2025-06-27,241.61
TXN0045673,CUST004680,CAMP0124,2023-03-29,299.34
